experiment_id,timestamp_utc,experiment_type,status,reason,model_id,backend,method,device,precision,load_time_s,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,tokens_per_sec_mean,peak_rss_mb,peak_gpu_allocated_mb,model_weight_mb,perplexity,acceptance_rate_mean,speedup_over_baseline
2026-08-25T194112Z_fp32_0599ed7a,2026-08-25T19:41:12Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.473750499120797,2.473750499120797,2.5656256497313734,113.58814599952893,113.58814599952893,115.43526460009161,115.59945292014163,140.9057699444901,457.375,,474.7,,,
2026-08-25T194112Z_fp32_b35b94e9,2026-08-25T19:41:13Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,3.5922500001106528,3.5922500001106528,4.623499700119282,188.36902099974395,188.36902099974395,200.399639600073,201.46902792010223,128.05434645742963,457.375,,474.7,,,
2026-08-25T194113Z_fp32_14f80e38,2026-08-25T19:41:13Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,3.4599374994286336,3.4599374994286336,4.011880949656188,88.58439599953272,88.58439599953272,88.98922680009491,89.02521176014488,90.31168735508486,462.734,,474.7,,,
2026-08-25T194113Z_fp32_5292873e,2026-08-25T19:41:14Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.6332080005886382,2.6332080005886382,2.750883000317117,112.19716649975453,112.19716649975453,117.75395414970262,118.24789082969801,107.27944697023443,463.109,,474.7,,,
2026-08-25T194114Z_fp32_234bc393,2026-08-25T19:41:14Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.8030000003127498,2.8030000003127498,3.036849700492894,130.27395849985623,130.27395849985623,139.1242583503299,139.91095167037201,123.52191652118236,463.109,,474.7,,,
2026-08-25T194114Z_fp32_e810d974,2026-08-25T19:41:15Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.9924165000920766,2.9924165000920766,3.127678851069504,223.34060449975368,223.34060449975368,229.602673548834,230.15930190875224,107.5635831786786,463.109,,474.7,,,
2026-08-25T194115Z_fp32_0c25bc8e,2026-08-25T19:41:15Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,3.2155000008060597,3.2155000008060597,3.2391250006185146,91.21593750023749,91.21593750023749,95.90949374996853,96.32669874994463,87.99159147175493,468.312,,474.7,,,
2026-08-25T194116Z_fp32_5d3f7e4c,2026-08-25T19:41:16Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.405332999842358,2.405332999842358,2.4094577000141726,98.52664549998735,98.52664549998735,101.00653925010192,101.22697425011211,121.88979674270955,468.375,,474.7,,,
2026-08-25T194116Z_fp32_f7ec426e,2026-08-25T19:41:16Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,3.291625499514339,3.291625499514339,3.469300349297555,141.75360450008156,141.75360450008156,142.11377324963905,142.14578824959972,112.87280896728241,468.422,,474.7,,,
2026-08-25T194117Z_fp32_2cc654d6,2026-08-25T19:41:17Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.407041499282059,2.407041499282059,2.533191349630215,173.44404100003885,173.44404100003885,173.53820349999296,173.54657349998888,138.37321014099828,468.5,,474.7,,,
2026-08-25T194120Z_fp16_0759e6ac,2026-08-25T19:41:20Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.267958499942324,2.267958499942324,2.3727711492028902,41.66374999931577,41.66374999931577,42.57008779959506,42.65065115961988,192.1256851375237,746.5,,237.35,,,
2026-08-25T194120Z_fp16_882e710d,2026-08-25T19:41:20Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.008604001275671,2.008604001275671,2.0502101012425555,54.222979000769556,54.222979000769556,54.32612260028691,54.335290920244006,221.30937524012927,743.812,,237.35,,,
2026-08-25T194121Z_fp16_cd993a20,2026-08-25T19:41:21Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.3780419996910496,2.3780419996910496,2.6010169998698984,117.47133400058374,117.47133400058374,148.91137150061695,151.7060415006199,149.41691722699625,743.812,,237.35,,,
2026-08-25T194121Z_fp16_363fb203,2026-08-25T19:41:22Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.4383329991906066,2.4383329991906066,2.8822579996813147,158.86397899976146,158.86397899976146,191.54641070026628,194.45151574031115,159.40148873007848,742.234,,237.35,,,
2026-08-25T194122Z_fp16_75071e00,2026-08-25T19:41:22Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,4.845812499297608,4.845812499297608,7.161869349602057,63.078020500142884,63.078020500142884,68.90583955037073,69.42386791039098,128.17783959493792,746.547,,237.35,,,
2026-08-25T194122Z_fp16_98e3c63f,2026-08-25T19:41:22Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.072479500384361,2.072479500384361,2.1457354506310367,58.63204150045931,58.63204150045931,61.2196544499966,61.44966448995547,205.1595764686295,746.578,,237.35,,,
2026-08-25T194122Z_fp16_8256b33e,2026-08-25T19:41:23Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.217208500042034,2.217208500042034,2.2730458503247064,83.13622950026911,83.13622950026911,91.09813575059889,91.8058607506282,194.65936716264457,746.578,,237.35,,,
2026-08-25T194123Z_fp16_638f13b3,2026-08-25T19:41:23Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.029020999543718,2.029020999543718,2.080677400044806,113.7802704997739,113.7802704997739,118.46647644906625,118.88302808900335,211.3755471608468,746.578,,237.35,,,
2026-08-25T194123Z_fp16_c4c223c8,2026-08-25T19:41:23Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.1612914997604094,2.1612914997604094,2.215553849509888,40.2326039993568,40.2326039993568,40.56798540013915,40.59779708020869,198.86076424423274,751.188,,237.35,,,
2026-08-25T194124Z_fp16_cfe92a53,2026-08-25T19:41:24Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.4347085009139846,2.4347085009139846,2.4713461508326873,67.50981250115728,67.50981250115728,69.63011845109577,69.8185900910903,177.96866928891842,746.625,,237.35,,,
2026-08-25T194124Z_fp16_662d9c53,2026-08-25T19:41:24Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.3317295008382644,2.3317295008382644,2.6480610506951052,113.81687550056085,113.81687550056085,132.99707565001881,134.70198232997063,145.68433944337733,746.625,,237.35,,,
2026-08-25T194124Z_fp16_2e19906b,2026-08-25T19:41:25Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.3015000006125774,2.3015000006125774,2.6195375010502175,164.2608960000871,164.2608960000871,204.38962710113628,207.95662542122955,157.73084764159728,746.625,,237.35,,,
2026-08-25T194125Z_fp16_4ba75e99,2026-08-25T19:41:25Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.0385415009513963,2.0385415009513963,2.077278851174924,40.45791649969033,40.45791649969033,40.4703288500059,40.47143217003395,197.73635475476047,750.812,,237.35,,,
2026-08-25T194125Z_fp16_7dd7fec4,2026-08-25T19:41:26Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.1096874997965642,2.1096874997965642,2.1678315498320444,60.48120850027772,60.48120850027772,61.44570835040213,61.53144167041319,198.47104639926522,750.859,,237.35,,,
2026-08-25T194126Z_fp16_c7a25376,2026-08-25T19:41:26Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.104124999277701,2.104124999277701,2.19813719877493,77.14433299952361,77.14433299952361,78.06964549927216,78.1518954992498,207.4402843311278,750.859,,237.35,,,
2026-08-25T194126Z_fp16_66b3f1fb,2026-08-25T19:41:26Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.0155205002083676,2.0155205002083676,2.020864249971055,115.56624999957421,115.56624999957421,117.93197469951338,118.14226133950797,207.78058246370261,750.859,,237.35,,,
2026-08-25T194127Z_fp16_d996e08c,2026-08-25T19:41:27Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.8227914999661152,2.8227914999661152,2.923066349740111,46.09893750057381,46.09893750057381,47.32438155042473,47.43330991041148,173.69132131929808,754.906,,237.35,,,
2026-08-25T194127Z_fp16_187df88a,2026-08-25T19:41:27Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.681416500308842,2.681416500308842,2.7244666499427694,71.86735450068227,71.86735450068227,75.14611075030189,75.43755575026807,167.40444999139663,754.969,,237.35,,,
2026-08-25T194127Z_fp16_2b11db37,2026-08-25T19:41:27Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.165520999369619,2.165520999369619,2.2510020994559454,81.98293799978273,81.98293799978273,84.66874410023593,84.90748242027621,195.4214936614266,754.156,,237.35,,,
2026-08-25T194128Z_fp16_c9ff13aa,2026-08-25T19:41:28Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6784360420006124,2.3912085007395945,2.3912085007395945,2.4022330501793476,127.328562501134,127.328562501134,137.95803095126757,138.90287259127945,190.12451616226093,754.188,,237.35,,,
